,stringIndex
ABW,39.158713235294115
AFG,50.44720754716985
AGO,55.973529411764666
AIA,33.20848708487078
ALB,52.25439849624066
AND,32.10114391143916
ARE,45.37003891050583
ARG,67.85219696969676
ARM,
ATG,
AUS,52.76165441176457
AUT,38.439926470588304
AZE,63.839595588235156
BDI,10.503962264150989
BEL,48.311025641025644
BEN,36.793088235294086
BES,
BFA,41.06599999999995
BGD,61.07653136531383
BGR,36.87853932584259
BHR,55.024264705882445
BHS,
BIH,49.86633962264153
BLR,9.15276752767529
BLZ,52.746985294117586
BMU,45.86694852941176
BOL,65.44223484848472
BRA,56.26172932330845
BRB,47.613703703703536
BRN,38.52977941176471
BTN,56.83444852941169
BWA,48.89996268656711
CAF,44.01947761194019
CAN,50.08697761194018
CHE,41.084926470588144
CHL,56.76498113207534
CHN,69.92025735294125
CIV,40.42743396226416
CMR,43.64332075471694
COD,48.70503676470592
COG,51.67375000000001
COL,61.317306273063046
COM,
CPV,54.01973384030425
CRI,53.27830827067676
CUB,59.35045112781962
CUW,
CYM,49.21890710382518
CYP,48.88874999999995
CZE,38.96286764705887
DEU,47.572388059701645
DJI,44.89767790262184
DMA,38.49053639846751
DNK,44.71463235294115
DOM,59.36891791044793
DZA,55.060830188679205
ECU,58.617849056603724
EGY,50.63279850746263
ERI,65.152573529412
ESH,
ESP,51.05529411764711
EST,30.10335793357932
ETH,55.82445283018863
FIN,34.736985294117616
FJI,51.76433962264155
FLK,29.000405904058912
FRA,48.43114391143925
FRO,
GAB,53.61531835206
GBR,50.80767973856181
GEO,57.32813432835833
GGY,
GHA,42.006007462686625
GIB,43.09934693877559
GIN,49.64003787878774
GMB,52.35194852941176
GNB,
GNQ,
GRC,46.86205882352946
GRD,
GRL,34.746492537313465
GTM,68.87121212121218
GUM,50.73788679245274
GUY,57.95169811320742
HKG,53.67132841328415
HND,69.06536121672981
HRV,40.08768382352934
HTI,45.246628787878905
HUN,44.362840909090934
IDN,52.08533088235287
IMN,
IND,62.271794871794825
IRL,50.38564393939378
IRN,43.25272388059695
IRQ,68.70087121212126
ISL,32.870898876404475
ISR,51.20253787878789
ITA,54.28704119850182
JAM,57.67867924528297
JEY,
JOR,49.84518656716406
JPN,29.913820224719107
KAZ,58.581323529411755
KEN,59.77367647058832
KGZ,60.159773584905615
KHM,34.95417910447768
KNA,
KOR,46.75115241635696
KWT,61.6302316602317
LAO,33.30283018867924
LBN,52.28158490566035
LBR,54.94384328358204
LBY,66.1811320754716
LCA,
LIE,
LKA,46.25811320754725
LSO,50.45890566037717
LTU,36.18456603773592
LUX,35.43568773234201
LVA,39.04102272727281
MAR,57.52055762081797
MCO,
MDA,53.940708955223954
MDG,50.21947169811311
MDV,
MEX,52.28103321033211
MKD,
MLI,39.17503731343265
MLT,
MMR,56.56865671641798
MNE,
MNG,55.80439393939385
MNP,
MOZ,45.11169811320767
MRT,40.949253731343035
MSR,36.52428044280449
MUS,33.25931034482752
MWI,43.003272058823356
MYS,48.372803030303054
NAM,43.61914498141266
NCL,
NER,23.03898113207555
NGA,52.533358208955306
NIC,9.9371320754717
NLD,42.982830882352886
NOR,36.6190151515152
NPL,66.65286764705883
NZL,39.244963235294115
OMN,66.17905660377355
PAK,52.90448529411782
PAN,62.91675373134329
PER,64.86874999999998
PHL,64.12405303030297
PNG,41.400373134328476
POL,42.35319852941164
PRI,58.759516728624696
PRT,53.32107279693498
PRY,62.94152985074625
PSE,64.71055350553509
PYF,
QAT,59.44754789272027
ROU,45.24464944649454
RUS,52.660641509433866
RWA,55.54465116279073
SAU,57.024659090909054
SDN,56.84048507462671
SEN,40.440479704796964
SGP,50.49539325842708
SLE,37.37136029411751
SLV,68.05252747252739
SMR,41.32088560885604
SOM,30.149365671641707
SRB,46.40871698113206
SSD,56.500603773584814
STP,
SUR,58.57711610486897
SVK,39.27791044776116
SVN,38.65840909090919
SWE,29.275056603773653
SWZ,57.68018867924518
SXM,
SYC,30.551169811320612
SYR,49.36436567164186
TCA,45.41571428571423
TCD,48.87863970588223
TGO,42.615955882352914
THA,43.385207547169685
TJK,36.26011029411754
TLS,30.618371212121207
TTO,55.78555970149256
TUN,38.34408921933091
TUR,48.48661654135333
TWN,21.828141263940374
TZA,24.575036764705846
UGA,62.0925278810409
UKR,49.540624999999906
URY,33.21080882352936
USA,49.20436468585732
UZB,57.44176029962556
VAT,
VCT,
VEN,61.708051470588316
VGB,44.36399999999994
VIR,
VNM,57.04055762081791
OWID_KOS,
YEM,31.105845588235155
ZAF,57.13468634686343
ZMB,36.40312267658005
ZWE,57.9991176470588
OWID_WRL,
,
